,text,lang,place_lat,place_lon,place_type,country,in_reply_to_user_id_str,user_id_str,followers_count,verified,pronoun,created_at,location,description
26019,yo me pongo a hablar de usted con mi amiga y empiezo a extrañarlo y agggg que maricada gtlt,es,4.262283503,-74.24367099999999,city,Colombia,,289106904,636,False,ud,Tue Jul 21 23:56:14 +0000 2015,,#TeAmoLeón
26900,por que se me quiebra la voz al hablar de usted por que – – vida miserable,es,4.262283503,-74.24367099999999,city,Colombia,,2792880943,342,False,ud,Sat Jul 25 19:41:50 +0000 2015,Medellin/Bogota,"Cheerleader/Flyer<U+2655>
Morena, Pelinegra, Ojos Cafes,ENANA <U+2639>
PERO FELIZ <U+263A>
Vivo Cagandola A Menudo Soy Mas Errores Que Persona.<U+2654><U+266B>G.U.Y - GAGA<U+266B><U+2654>"
29356,tanto hablar de usted ayer hizo que apareciera en mis sueños y por lo menos en ellos me habló fue lindo hasta que desperté,es,10.95807288,-74.849933,city,Colombia,,322674700,145,False,ud,Sun Aug 02 13:32:42 +0000 2015,Barranquilla - Colombia.,"La vida esta llena de lindas sorpresas...  
Junior <U+2661><U+2661><U+2661>"
35620,usted le tutea hasta al perro de su casa gas,es,8.075581893999999,-72.4770928,city,Colombia,,538435282,464,False,ud,Sun Aug 23 17:02:13 +0000 2015,,
36786,hablar de usted y que se me quiebre la voz no es nada lindo,es,4.262283503,-74.24367099999999,city,Colombia,,948617143,934,False,ud,Wed Sep 02 00:08:18 +0000 2015,"Bogotá, Colombia","Si tengo a Dios lo tengo todo.  
(C.D.L) Te adoro infinitamente."
